building_name,building_type,address,floor,transport,building_age,building_materials,room_floor,rent_fee,management_fee,deposit,gift_money,house_plan,house_area
東京都新宿区四谷４丁目,マンション,東京都新宿区四谷４丁目,14階建て, 東京メトロ丸ノ内線 新宿御苑前駅/徒歩5分東京メトロ丸ノ内線 四谷三丁目駅/徒歩7分東京メトロ丸ノ内線 新宿三丁目駅/徒歩10分,築8年,鉄筋コンクリート,2階,13.2万円,"10,500円",－,1ヶ月,1K,25.66m²
セントラルプレイス新宿御苑前,マンション,東京都新宿区新宿１丁目,15階建て, 東京メトロ丸ノ内線 新宿御苑前駅/徒歩4分東京メトロ丸ノ内線 新宿三丁目駅/徒歩6分東京メトロ丸ノ内線 新宿駅/徒歩12分,築8年,鉄筋コンクリート,2階,12.8万円,"8,000円",1ヶ月,－,1K,25.69m²
東京都新宿区大久保２丁目,アパート,東京都新宿区大久保２丁目,2階建て, ＪＲ山手線 新大久保駅/徒歩6分東京メトロ副都心線 東新宿駅/徒歩7分ＪＲ総武線 大久保駅/徒歩10分,築9年,木造,2階,6.8万円,"3,500円",－,1ヶ月,1R,11.46m²
コンフォリア新宿イーストサイドタワーＡＮＮＥＸ,マンション,東京都新宿区新宿６丁目,4階建て, 都営大江戸線 東新宿駅/徒歩3分東京メトロ丸ノ内線 新宿三丁目駅/徒歩4分東京メトロ丸ノ内線 新宿駅/徒歩12分,築11年,鉄筋コンクリート,2階,34万円,－,2ヶ月,－,1LDK,56.39m²
ルーブル早稲田六番館,マンション,東京都新宿区戸山１丁目,5階建て, 東京メトロ東西線 早稲田駅/徒歩3分都営大江戸線 若松河田駅/徒歩9分都営大江戸線 牛込柳町駅/徒歩10分,築14年,鉄筋コンクリート,3階,8万円,"9,000円",－,1ヶ月,1K,20.25m²
Ｇａｒｄｅｎ　Ｉ’ｌｌ　Ｙｏｔｓｕｙａ,マンション,東京都新宿区四谷１丁目,11階建て, ＪＲ総武線 四ツ谷駅/徒歩3分東京メトロ丸ノ内線 四谷三丁目駅/徒歩8分都営新宿線 曙橋駅/徒歩12分,築14年,鉄骨鉄筋コンクリート,11階,14.2万円,"10,000円",1ヶ月,1ヶ月,1R,27.84m²
ソレアード落合,アパート,東京都新宿区上落合２丁目,2階建て, 西武鉄道新宿線 中井駅/徒歩5分東京メトロ東西線 落合駅/徒歩6分西武鉄道新宿線 下落合駅/徒歩11分,築15年,木造,2階,7.8万円,"4,500円",－,1ヶ月,1K,21.43m²
ウィントンベリーハウス四谷,マンション,東京都新宿区若葉１丁目,3階建て, 中央本線（ＪＲ東日本） 四ツ谷駅/徒歩5分東京メトロ丸ノ内線 四谷三丁目駅/徒歩5分ＪＲ総武線 信濃町駅/徒歩14分,築15年,鉄筋コンクリート,1階,12万円,"10,000円",1ヶ月,1ヶ月,1K,27.65m²
ウエスト１６,マンション,東京都新宿区西新宿３丁目,4階建て, 京王電鉄京王線 初台駅/徒歩5分都営大江戸線 西新宿五丁目駅/徒歩10分ＪＲ山手線 新宿駅/徒歩15分,築17年,鉄筋コンクリート,B1階,8万円,－,－,－,1R,16.48m²
ルネッサンス新宿,マンション,東京都新宿区百人町２丁目,9階建て, ＪＲ山手線 新大久保駅/徒歩1分ＪＲ総武線 大久保駅/徒歩4分都営大江戸線 東新宿駅/徒歩11分,築17年,鉄筋コンクリート,5階,8.7万円,"5,000円",－,1ヶ月,1K,18.93m²
