building_name,building_type,address,floor,transport,building_age,building_materials,room_floor,rent_fee,management_fee,deposit,gift_money,house_plan,house_area,house_area_int,have_living_room,have_kitchen_room,have_dining_room,have_storage_room,have_common_room,have_gift_money,have_deposit,management_fee_int,rent_fee_int,building_age_int,transport1,transport2,transport3,have_convinient_transport,building_floor_int,room_floor_int
クレイン四谷,マンション,東京都新宿区若葉１丁目,4階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩5分ＪＲ総武線 四ツ谷駅/徒歩8分都営新宿線 曙橋駅/徒歩11分,築20年,鉄筋コンクリート,1階,8.5万円,"5,000円",1ヶ月,1ヶ月,1R,23.77m²,23.77,0,0,0,0,1,1,1,5.0,85.0,20, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩5分,Ｒ総武線 四ツ谷駅/徒歩8分,営新宿線 曙橋駅/徒歩11分,0,4,1
シエン・コンドミニオ,マンション,東京都新宿区百人町２丁目,6階建て, ＪＲ山手線 新大久保駅/徒歩6分西武鉄道新宿線 西武新宿駅/徒歩16分ＪＲ総武線 大久保駅/徒歩4分,築22年,鉄筋コンクリート,2階,17.5万円,－,1ヶ月,1ヶ月,1LDK,40.77m²,40.77,1,1,1,0,0,1,1,-1.0,175.0,22, ＪＲ山手線 新大久保駅/徒歩6分,武鉄道新宿線 西武新宿駅/徒歩16分,Ｒ総武線 大久保駅/徒歩4分,1,6,2
東京都新宿区西早稲田２丁目,マンション,東京都新宿区西早稲田２丁目,3階建て, 東京メトロ副都心線 西早稲田駅/徒歩6分,築26年,鉄筋コンクリート,2階,6.9万円,"4,000円",1ヶ月,1ヶ月,1K,19.89m²,19.89,0,1,0,0,0,1,1,4.0,69.0,26, 東京メトロ副都心線 西早稲田駅/徒歩6分,,,0,3,2
トーシン・プラネット新宿,マンション,東京都新宿区北新宿４丁目,6階建て, ＪＲ総武線 東中野駅/徒歩8分ＪＲ総武線 大久保駅/徒歩10分東京メトロ東西線 落合駅/徒歩12分,築30年,鉄筋コンクリート,4階,6.5万円,"4,000円",－,1ヶ月,1R,21.14m²,21.14,0,0,0,0,1,1,0,4.0,65.0,30, ＪＲ総武線 東中野駅/徒歩8分,Ｒ総武線 大久保駅/徒歩10分,京メトロ東西線 落合駅/徒歩12分,0,6,4
フラットＭＯＮＡ,マンション,東京都新宿区西落合１丁目,6階建て, 都営大江戸線 落合南長崎駅/徒歩3分西武池袋・豊島線 東長崎駅/徒歩13分,築30年,鉄筋コンクリート,5階,8.5万円,"8,000円",1ヶ月,1ヶ月,1K,20m²,20.0,0,1,0,0,0,1,1,8.0,85.0,30, 都営大江戸線 落合南長崎駅/徒歩3分,武池袋・豊島線 東長崎駅/徒歩13分,,1,6,5
グランメール落合,マンション,東京都新宿区上落合１丁目,6階建て, 西武鉄道新宿線 下落合駅/徒歩4分都営大江戸線 中井駅/徒歩8分東京メトロ東西線 落合駅/徒歩10分,築30年,鉄筋コンクリート,3階,11.5万円,"8,000円",1ヶ月,1ヶ月,1LDK,47.42m²,47.42,1,1,1,0,0,1,1,8.0,115.0,30, 西武鉄道新宿線 下落合駅/徒歩4分,営大江戸線 中井駅/徒歩8分,京メトロ東西線 落合駅/徒歩10分,1,6,3
ブリティホワイトパレス,アパート,東京都新宿区西新宿５丁目,2階建て, 都営大江戸線 西新宿五丁目駅/徒歩3分都営大江戸線 都庁前駅/徒歩10分ＪＲ山手線 新宿駅/徒歩18分,築33年,木造,2階,6万円,"2,000円",－,－,1R,18.42m²,18.42,0,0,0,0,1,0,0,2.0,60.0,33, 都営大江戸線 西新宿五丁目駅/徒歩3分,営大江戸線 都庁前駅/徒歩10分,Ｒ山手線 新宿駅/徒歩18分,1,2,2
オークハイツ,マンション,東京都新宿区北新宿３丁目,4階建て, 都営大江戸線 東中野駅/徒歩8分ＪＲ総武線 大久保駅/徒歩10分ＪＲ山手線 新大久保駅/徒歩14分,築34年,鉄筋コンクリート,1階,7.2万円,"3,000円",1ヶ月,－,1R,20.14m²,20.14,0,0,0,0,1,0,1,3.0,72.0,34, 都営大江戸線 東中野駅/徒歩8分,Ｒ総武線 大久保駅/徒歩10分,Ｒ山手線 新大久保駅/徒歩14分,1,4,1
グリーンコート四谷,マンション,東京都新宿区愛住町,3階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩5分都営新宿線 曙橋駅/徒歩6分東京メトロ丸ノ内線 新宿御苑前駅/徒歩14分,築34年,鉄筋コンクリート,2階,11.3万円,"6,000円",1ヶ月,1ヶ月,1LDK,39m²,39.0,1,1,1,0,0,1,1,6.0,113.0,34, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩5分,営新宿線 曙橋駅/徒歩6分,京メトロ丸ノ内線 新宿御苑前駅/徒歩14分,0,3,2
ライオンズマンション西新宿第５,マンション,東京都新宿区西新宿４丁目,5階建て, 都営大江戸線 西新宿五丁目駅/徒歩4分都営大江戸線 都庁前駅/徒歩9分ＪＲ山手線 新宿駅/徒歩19分,築41年,鉄筋コンクリート,1階,7.5万円,－,1ヶ月,1ヶ月,1R,20.79m²,20.79,0,0,0,0,1,1,1,-1.0,75.0,41, 都営大江戸線 西新宿五丁目駅/徒歩4分,営大江戸線 都庁前駅/徒歩9分,Ｒ山手線 新宿駅/徒歩19分,1,5,1
ライオンズマンション信濃町,マンション,東京都新宿区南元町,6階建て, ＪＲ総武線 信濃町駅/徒歩7分都営大江戸線 国立競技場駅/徒歩12分東京メトロ丸ノ内線 四ツ谷駅/徒歩13分,築41年,鉄筋コンクリート,3階,16.5万円,－,1ヶ月,1ヶ月,2SDK,51.53m²,51.53,0,1,1,1,0,1,1,-1.0,165.0,41, ＪＲ総武線 信濃町駅/徒歩7分,営大江戸線 国立競技場駅/徒歩12分,京メトロ丸ノ内線 四ツ谷駅/徒歩13分,1,6,3
ＳｏＫｏ　ＰＡＲＣＯ,マンション,東京都新宿区百人町３丁目,5階建て, ＪＲ総武線 大久保駅/徒歩11分ＪＲ山手線 新大久保駅/徒歩11分ＪＲ山手線 高田馬場駅/徒歩12分,築0年,鉄筋コンクリート,3階,13.2万円,"5,000円",－,1ヶ月,1LDK,27.98m²,27.98,1,1,1,0,0,1,0,5.0,132.0,0, ＪＲ総武線 大久保駅/徒歩11分,Ｒ山手線 新大久保駅/徒歩11分,Ｒ山手線 高田馬場駅/徒歩12分,1,5,3
メゾン・ド・モナーク,マンション,東京都新宿区大京町,5階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩8分都営大江戸線 国立競技場駅/徒歩8分ＪＲ総武線 信濃町駅/徒歩10分,築44年,鉄筋コンクリート,3階,5.9万円,"5,000円",－,－,1R,15.08m²,15.08,0,0,0,0,1,0,0,5.0,59.0,44, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩8分,営大江戸線 国立競技場駅/徒歩8分,Ｒ総武線 信濃町駅/徒歩10分,1,5,3
イトーピア信濃町マンション,マンション,東京都新宿区南元町,6階建て, ＪＲ総武線 信濃町駅/徒歩6分都営大江戸線 国立競技場駅/徒歩11分東京メトロ丸ノ内線 四谷三丁目駅/徒歩13分,築43年,鉄筋コンクリート,3階,24万円,"51,600円","240,000円","240,000円",3LDK,84.74m²,84.74,1,1,1,0,0,1,1,51.6,240.0,43, ＪＲ総武線 信濃町駅/徒歩6分,営大江戸線 国立競技場駅/徒歩11分,京メトロ丸ノ内線 四谷三丁目駅/徒歩13分,1,6,3
ヴェラハイツ市ヶ谷,マンション,東京都新宿区片町,10階建て, 都営新宿線 曙橋駅/徒歩2分東京メトロ丸ノ内線 四谷三丁目駅/徒歩8分都営大江戸線 牛込柳町駅/徒歩10分,築46年,鉄骨鉄筋コンクリート,2階,8.5万円,－,1ヶ月,－,1R,24.3m²,24.3,0,0,0,0,1,0,1,-1.0,85.0,46, 都営新宿線 曙橋駅/徒歩2分,京メトロ丸ノ内線 四谷三丁目駅/徒歩8分,営大江戸線 牛込柳町駅/徒歩10分,1,10,2
御苑コーポビアネーズ,マンション,東京都新宿区新宿１丁目,7階建て, 東京メトロ丸ノ内線 新宿御苑前駅/徒歩4分東京メトロ丸ノ内線 四谷三丁目駅/徒歩9分都営新宿線 新宿三丁目駅/徒歩10分,築52年,鉄筋コンクリート,5階,15万円,"10,000円",2ヶ月,－,1R,51.57m²,51.57,0,0,0,0,1,0,1,10.0,150.0,52, 東京メトロ丸ノ内線 新宿御苑前駅/徒歩4分,京メトロ丸ノ内線 四谷三丁目駅/徒歩9分,営新宿線 新宿三丁目駅/徒歩10分,0,7,5
ＳＵＮＩＶＡＳ飯田橋,マンション,東京都新宿区新小川町,5階建て, ＪＲ総武線 飯田橋駅/徒歩6分都営大江戸線 牛込神楽坂駅/徒歩10分東京メトロ東西線 神楽坂駅/徒歩11分,築0年,鉄筋コンクリート,2階,21.3万円,"14,000円",－,－,1LDK,39.47m²,39.47,1,1,1,0,0,0,0,14.0,213.0,0, ＪＲ総武線 飯田橋駅/徒歩6分,営大江戸線 牛込神楽坂駅/徒歩10分,京メトロ東西線 神楽坂駅/徒歩11分,1,5,2
ユゥーアップー四ツ谷,マンション,東京都新宿区四谷２丁目,12階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩5分中央本線（ＪＲ東日本） 四ツ谷駅/徒歩8分都営新宿線 曙橋駅/徒歩11分,築1年,鉄筋コンクリート,2階,14.2万円,"10,000円",1ヶ月,－,1K,30m²,30.0,0,1,0,0,0,0,1,10.0,142.0,1, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩5分,央本線（ＪＲ東日本） 四ツ谷駅/徒歩8分,営新宿線 曙橋駅/徒歩11分,0,12,2
ザ・アーバンテラス高田馬場,アパート,東京都新宿区高田馬場３丁目,2階建て, 西武鉄道新宿線 高田馬場駅/徒歩7分西武鉄道新宿線 下落合駅/徒歩7分西武鉄道新宿線 中井駅/徒歩15分,築2年,木造,1階,6.1万円,"4,000円",1ヶ月,1ヶ月,1R,10.23m²,10.23,0,0,0,0,1,1,1,4.0,61.0,2, 西武鉄道新宿線 高田馬場駅/徒歩7分,武鉄道新宿線 下落合駅/徒歩7分,武鉄道新宿線 中井駅/徒歩15分,0,2,1
セジョリ西早稲田Ⅱ,マンション,東京都新宿区西早稲田１丁目,11階建て, 東京メトロ東西線 早稲田駅/徒歩7分都電荒川線 早稲田駅/徒歩4分都電荒川線 面影橋駅/徒歩9分,築2年,鉄筋コンクリート,2階,10.8万円,"10,000円",－,"108,000円",1K,25.89m²,25.89,0,1,0,0,0,1,0,10.0,108.0,2, 東京メトロ東西線 早稲田駅/徒歩7分,電荒川線 早稲田駅/徒歩4分,電荒川線 面影橋駅/徒歩9分,0,11,2
市谷仲之町ヒルズ　クレスト（Ｎｏｒｔｈ棟）,マンション,東京都新宿区市谷仲之町,6階建て, 都営新宿線 曙橋駅/徒歩4分都営大江戸線 牛込柳町駅/徒歩10分東京メトロ丸ノ内線 四谷三丁目駅/徒歩11分,築2年,鉄筋コンクリート,3階,12.4万円,"7,000円",1ヶ月,1ヶ月,1K,29.73m²,29.73,0,1,0,0,0,1,1,7.0,124.0,2, 都営新宿線 曙橋駅/徒歩4分,営大江戸線 牛込柳町駅/徒歩10分,京メトロ丸ノ内線 四谷三丁目駅/徒歩11分,1,6,3
ＰＡＳＥＯ四ツ谷,マンション,東京都新宿区四谷三栄町,5階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩5分中央本線（ＪＲ東日本） 四ツ谷駅/徒歩7分都営新宿線 曙橋駅/徒歩7分,築2年,鉄筋コンクリート,1階,12.7万円,"18,000円",－,－,1R,25.75m²,25.75,0,0,0,0,1,0,0,18.0,127.0,2, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩5分,央本線（ＪＲ東日本） 四ツ谷駅/徒歩7分,営新宿線 曙橋駅/徒歩7分,0,5,1
